id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
958,"Bright, Modern Garden Unit - 1BR/1BTH",1169,Holly,,Western Addition,37.77028,-122.43317,Entire home/apt,157,2,496,8/16/2025,2.53,1,224,41,STR-0006854
5858,Creative Sanctuary,8904,Philip Jonathon,,Bernal Heights,37.74474,-122.42089,Entire home/apt,250,30,105,8/6/2017,0.53,1,357,0,
8014,female HOST quiet fast internet market parking,22402,Jia,,Outer Mission,37.73077,-122.44827,Private room,67,4,90,7/3/2025,0.57,3,42,1,STR-0000974
8142,*FriendlyRoom Apt. Style -UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76555,-122.45213,Private room,56,32,10,7/30/2023,0.07,20,362,0,
8339,Historic Alamo Square Victorian,24215,Rosmarie,,Western Addition,37.77377,-122.43614,Entire home/apt,527,9,25,6/28/2019,0.13,1,327,0,STR-0000264
10537,Elegant & Cozy w/City views. Private room: Purple,36752,Teresa,,Bayview,37.7175,-122.39698,Private room,108,1,40,7/3/2025,0.21,3,363,8,2022-011003STR
10578,Classic Nob Hill Studio - Roof Deck,37049,Andrew,,Nob Hill,37.79249,-122.41499,Entire home/apt,100,30,18,5/17/2015,0.11,1,275,0,
11490,Cozy Nob Hill Nook,42681,Rachael,,Nob Hill,37.7914,-122.41149,Private room,75,30,43,8/12/2025,0.23,1,74,2,
12041,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76901,-122.44701,Private room,,32,7,6/11/2022,0.04,20,365,0,
12042,Sunny/Sunset view room UCSF/USF - San Francisco*,21994,Aaron,,Haight Ashbury,37.76932,-122.44723,Private room,93,32,7,8/27/2025,0.05,20,365,1,
12522,Perfectly located Castro,18431,Brenda,,Castro/Upper Market,37.76237,-122.42992,Private room,99,3,518,5/21/2025,2.72,1,28,23,STR-0000057
18231,Loft-like Apt./Garden,70224,Arlene,,Noe Valley,37.74858,-122.42865,Entire home/apt,99,30,72,8/17/2024,0.39,1,230,0,
18904,Lower Haight Urban Zen With Private Bath,72464,Patrick,,Western Addition,37.77247,-122.43301,Private room,117,2,514,8/25/2025,3.07,1,34,32,STR-0000094
21334,Studio loft on top of Russian Hill,81455,Joseph Douglas,,Nob Hill,37.7962,-122.41562,Entire home/apt,250,30,125,8/10/2024,0.67,1,363,0,City registration pending
24111,Charming 2 Bd Rm Ocean View,96951,Jason,,Parkside,37.73807,-122.47554,Entire home/apt,100,120,0,,,1,365,0,
24463,"NEST of Potrero Hill - Quiet, Stylish & Convenient",99128,Cathryn,,Potrero Hill,37.75675583,-122.4001694,Private room,178,2,413,8/11/2025,2.22,2,245,19,STR-0000036
24723,"Guest Suite in PacHeights, Japantown & Fillmore St",100800,Cynthia,,Pacific Heights,37.78897,-122.43376,Entire home/apt,230,5,506,8/18/2025,2.7,2,186,42,STR-0007279
25094,San Francisco's Luxury Oasis Private Room On Noe,103339,Bruce,,Glen Park,37.74159,-122.43159,Private room,161,5,79,8/20/2025,0.71,1,317,5,STR-0002528
26488,Embarcadero High Rise with Views!,112300,Micheal,,Financial District,37.79146,-122.3932,Entire home/apt,1000,360,48,6/21/2012,0.26,1,365,0,
29557,gigi's bed and breakfast,126036,Gigi,,Outer Richmond,37.77885,-122.50534,Entire home/apt,200,2,145,8/16/2025,0.79,1,280,10,STR-0001135
32414,"Cozy, Sunny and Private Space",140251,Lisa,,Bernal Heights,37.74038,-122.41327,Entire home/apt,162,30,93,9/29/2019,0.5,1,273,0,City registration pending
33578,Potrero Hill Garden Lookout,145258,Kepa,,Potrero Hill,37.76451,-122.39643,Entire home/apt,360,1,823,8/28/2025,4.52,2,324,42,STR-0000073
38935,Sunny Room with Private Bathroom – The Mission,167046,Nani,,Mission,37.7493,-122.41965,Private room,,3,45,12/5/2023,0.24,2,0,0,2023-004141STR
39418,"Comfortable Home Base, Bernal Heights, great area!",169184,Theresa,,Bernal Heights,37.741,-122.42018,Entire home/apt,89,90,28,7/1/2025,0.16,1,294,1,
40092,Cute Private Apt in the hip Mission,172182,Brian Del Bove,,Mission,37.7617,-122.41887,Entire home/apt,161,30,108,7/29/2025,0.59,2,188,2,
41055,Quiet Cozy Castro Cottage,178043,Charles,,Castro/Upper Market,37.76123,-122.43326,Entire home/apt,131,4,90,1/2/2025,0.49,2,39,3,2023-009640STR
41423,Guest Cottage - SF,180715,Carrie,,Glen Park,37.7369,-122.43451,Entire home/apt,,30,160,1/27/2025,0.88,1,289,1,30 Day Minimum Stay Required
41609,Spacious Quiet SF Downtown Work-From-Home Retreat,54299,Peter,,Downtown/Civic Center,37.78887,-122.41306,Entire home/apt,179,30,30,3/23/2024,0.17,1,195,0,
41730,The 'Original' Urban Oasis SF,128327,Evelyn,,Castro/Upper Market,37.76156,-122.42943,Private room,74,30,123,9/7/2015,0.67,2,305,0,
